source,target,weight
Bahawalpur,Bannu,0.9984173684285433
Bahawalpur,Faisalabad,0.9999301778854597
Bahawalpur,Gujranwala,0.9999308052830246
Bahawalpur,Hyderabad,0.9997685340582976
Bahawalpur,Islamabad,0.999985904766759
Bahawalpur,Karachi,0.9999369738437535
Bahawalpur,Khuzdar,0.9993570378565698
Bahawalpur,Lahore,0.9999806227072819
Bahawalpur,Larkana,0.9994953933872215
Bahawalpur,Multan,0.9996061414602064
Bahawalpur,Peshawar,0.9999607876751712
Bahawalpur,Quetta,0.9997228383574607
Bahawalpur,Rawalpindi,0.9999855382359474
Bahawalpur,Sargodha,0.9998294996316852
Bahawalpur,Sialkot,0.9994178638721665
Bahawalpur,Sukkur,0.9989825174978355
Bannu,Faisalabad,0.9980743796369934
Bannu,Gujranwala,0.9988286643483405
Bannu,Hyderabad,0.9987082464969084
Bannu,Islamabad,0.9985889196305262
Bannu,Karachi,0.998479708608938
Bannu,Khuzdar,0.9993101037405538
Bannu,Lahore,0.9983969503351643
Bannu,Larkana,0.9992430099056693
Bannu,Multan,0.9992106056312994
Bannu,Peshawar,0.9984483452372797
Bannu,Quetta,0.9991651170868984
Bannu,Rawalpindi,0.9985907686099499
Bannu,Sargodha,0.9991388324501407
Bannu,Sialkot,0.9991804277204493
Bannu,Sukkur,0.998917794709933
Faisalabad,Gujranwala,0.9997663525854061
Faisalabad,Hyderabad,0.9997545734653622
Faisalabad,Islamabad,0.9998769709971822
Faisalabad,Karachi,0.9998905078839392
Faisalabad,Khuzdar,0.9992661997703104
Faisalabad,Lahore,0.9998916681629803
Faisalabad,Larkana,0.999166434270233
Faisalabad,Multan,0.9992955620217948
Faisalabad,Peshawar,0.9999544864195509
Faisalabad,Quetta,0.9995577964149884
Faisalabad,Rawalpindi,0.9998764094777463
Faisalabad,Sargodha,0.9997011142647668
Faisalabad,Sialkot,0.999091376956914
Faisalabad,Sukkur,0.9985352792677986
Gujranwala,Hyderabad,0.9997416280015011
Gujranwala,Islamabad,0.9999656143515642
Gujranwala,Karachi,0.9999099207766466
Gujranwala,Khuzdar,0.9994485169660053
Gujranwala,Lahore,0.9999038354955797
Gujranwala,Larkana,0.9997734072534746
Gujranwala,Multan,0.9997743520497724
Gujranwala,Peshawar,0.999902542643239
Gujranwala,Quetta,0.999842120364943
Gujranwala,Rawalpindi,0.9999648189593826
Gujranwala,Sargodha,0.9999210349138251
Gujranwala,Sialkot,0.999696158440947
Gujranwala,Sukkur,0.9992331802629371
Hyderabad,Islamabad,0.9997361570668772
Hyderabad,Karachi,0.9998733314187311
Hyderabad,Khuzdar,0.9998098886270876
Hyderabad,Lahore,0.999654191312923
Hyderabad,Larkana,0.9992393269819326
Hyderabad,Multan,0.9992796089642559
Hyderabad,Peshawar,0.9998363408624061
Hyderabad,Quetta,0.9998971802345851
Hyderabad,Rawalpindi,0.9997357564230819
Hyderabad,Sargodha,0.9998264509141886
Hyderabad,Sialkot,0.999074651608781
Hyderabad,Sukkur,0.9992137855879645
Islamabad,Karachi,0.9999192875283209
Islamabad,Khuzdar,0.9993733948896657
Islamabad,Lahore,0.9999769472704759
Islamabad,Larkana,0.9996223718790742
Islamabad,Multan,0.9997221012633751
Islamabad,Peshawar,0.9999365734956246
Islamabad,Quetta,0.9997559326255024
Islamabad,Rawalpindi,0.9999998685807736
Islamabad,Sargodha,0.9998703758892556
Islamabad,Sialkot,0.9995672124613278
Islamabad,Sukkur,0.9990692589947926
Karachi,Khuzdar,0.9994707814028598
Karachi,Lahore,0.9998530653779191
Karachi,Larkana,0.999453343819216
Karachi,Multan,0.9994507495111064
Karachi,Peshawar,0.9999671736715604
Karachi,Quetta,0.9998051246464882
Karachi,Rawalpindi,0.9999195369201286
Karachi,Sargodha,0.9998728955446488
Karachi,Sialkot,0.9993223927077787
Karachi,Sukkur,0.9990086103837668
Khuzdar,Lahore,0.9992536015649748
Khuzdar,Larkana,0.9991719940824685
Khuzdar,Multan,0.9992435013997538
Khuzdar,Peshawar,0.9994290942822238
Khuzdar,Quetta,0.9998446143133024
Khuzdar,Rawalpindi,0.9993734517497218
Khuzdar,Sargodha,0.9996790932542614
Khuzdar,Sialkot,0.9990172059606409
Khuzdar,Sukkur,0.9994026870891227
Lahore,Larkana,0.9995123283513477
Lahore,Multan,0.9996772118973085
Lahore,Peshawar,0.9999080975933422
Lahore,Quetta,0.9996387191569897
Lahore,Rawalpindi,0.9999762583922854
Lahore,Sargodha,0.9997687486656862
Lahore,Sialkot,0.9994761571081091
Lahore,Sukkur,0.9989296245526832
Larkana,Multan,0.999879468932718
Larkana,Peshawar,0.9994453504813674
Larkana,Quetta,0.9996055968075617
Larkana,Rawalpindi,0.9996235219132348
Larkana,Sargodha,0.9997359472894074
Larkana,Sialkot,0.9999470173610233
Larkana,Sukkur,0.9991665141894693
Multan,Peshawar,0.9994757779373039
Multan,Quetta,0.9995959093951132
Multan,Rawalpindi,0.9997234913442081
Multan,Sargodha,0.9997159125028013
